Date,Total_cases,New_cases,New_cases_7davg
1/27/2020,1,1,
1/28/2020,2,1,
1/29/2020,3,1,
1/30/2020,4,1,
1/31/2020,6,2,
2/1/2020,6,0,
2/2/2020,6,0,0.857142857
2/3/2020,6,0,0.714285714
2/4/2020,6,0,0.571428571
2/5/2020,6,0,0.428571429
2/6/2020,6,0,0.285714286
2/7/2020,6,0,0
2/8/2020,6,0,0
2/9/2020,6,0,0
2/10/2020,6,0,0
2/11/2020,6,0,0
2/12/2020,6,0,0
2/13/2020,6,0,0
2/14/2020,6,0,0
2/15/2020,6,0,0
2/16/2020,6,0,0
2/17/2020,7,1,0.142857143
2/18/2020,7,0,0.142857143
2/19/2020,7,0,0.142857143
2/20/2020,8,1,0.285714286
2/21/2020,8,0,0.285714286
2/22/2020,8,0,0.285714286
2/23/2020,8,0,0.285714286
2/24/2020,8,0,0.142857143
2/25/2020,8,0,0.142857143
2/26/2020,10,2,0.428571429
2/27/2020,10,0,0.285714286
2/28/2020,12,2,0.571428571
2/29/2020,16,4,1.142857143
3/1/2020,16,0,1.142857143
3/2/2020,21,5,1.857142857
3/3/2020,23,2,2.142857143
3/4/2020,28,5,2.571428571
3/5/2020,35,7,3.571428571
3/6/2020,45,10,4.714285714
3/7/2020,53,8,5.285714286
3/8/2020,57,4,5.857142857
3/9/2020,74,17,7.571428571
3/10/2020,89,15,9.428571429
3/11/2020,115,26,12.42857143
3/12/2020,138,23,14.71428571
3/13/2020,186,48,20.14285714
3/14/2020,229,43,25.14285714
3/15/2020,261,32,29.14285714
3/16/2020,298,37,32
3/17/2020,349,51,37.14285714
3/18/2020,391,42,39.42857143
3/19/2020,434,43,42.28571429
3/20/2020,497,63,44.42857143
3/21/2020,533,36,43.42857143
3/22/2020,575,42,44.85714286
3/23/2020,653,78,50.71428571
3/24/2020,723,70,53.42857143
3/25/2020,802,79,58.71428571
3/26/2020,875,73,63
3/27/2020,941,66,63.42857143
3/28/2020,981,40,64
3/29/2020,1006,25,61.57142857
3/30/2020,1080,74,61
3/31/2020,1132,52,58.42857143
4/1/2020,1182,50,54.28571429
4/2/2020,1234,52,51.28571429
4/3/2020,1277,43,48
4/4/2020,1309,32,46.85714286
4/5/2020,1351,42,49.28571429
4/6/2020,1404,53,46.28571429
4/7/2020,1445,41,44.71428571
4/8/2020,1515,70,47.57142857
4/9/2020,1583,68,49.85714286
4/10/2020,1664,81,55.28571429
4/11/2020,1705,41,56.57142857
4/12/2020,1729,24,54
4/13/2020,1769,40,52.14285714
4/14/2020,1813,44,52.57142857
4/15/2020,1844,31,47
4/16/2020,1870,26,41
4/17/2020,1910,40,35.14285714
4/18/2020,1925,15,31.42857143
4/19/2020,1939,14,30
4/20/2020,1964,25,27.85714286
4/21/2020,1990,26,25.28571429
4/22/2020,2039,49,27.85714286
4/23/2020,2059,20,27
4/24/2020,2088,29,25.42857143
4/25/2020,2102,14,25.28571429
4/26/2020,2113,11,24.85714286
4/27/2020,2137,24,24.71428571
4/28/2020,2158,21,24
4/29/2020,2186,28,21
4/30/2020,2197,11,19.71428571
5/1/2020,2219,22,18.71428571
5/2/2020,2231,12,18.42857143
5/3/2020,2239,8,18
5/4/2020,2258,19,17.28571429
5/5/2020,2271,13,16.14285714
5/6/2020,2298,27,16
5/7/2020,2311,13,16.28571429
5/8/2020,2335,24,16.57142857
5/9/2020,2346,11,16.42857143
5/10/2020,2349,3,15.71428571
5/11/2020,2369,20,15.85714286
5/12/2020,2384,15,16.14285714
5/13/2020,2404,20,15.14285714
5/14/2020,2428,24,16.71428571
5/15/2020,2443,15,15.42857143
5/16/2020,2458,15,16
5/17/2020,2465,7,16.57142857
5/18/2020,2504,39,19.28571429
5/19/2020,2548,44,23.42857143
5/20/2020,2584,36,25.71428571
5/21/2020,2605,21,25.28571429
5/22/2020,2631,26,26.85714286
5/23/2020,2648,17,27.14285714
5/24/2020,2650,2,26.42857143
5/25/2020,2657,7,21.85714286
5/26/2020,2687,30,19.85714286
5/27/2020,2726,39,20.28571429
5/28/2020,2749,23,20.57142857
5/29/2020,2793,44,23.14285714
5/30/2020,2809,16,23
5/31/2020,2819,10,24.14285714
6/1/2020,2853,34,28
6/2/2020,2878,25,27.28571429
6/3/2020,2919,41,27.57142857
6/4/2020,2955,36,29.42857143
6/5/2020,2992,37,28.42857143
6/6/2020,3005,13,28
6/7/2020,3023,18,29.14285714
6/8/2020,3062,39,29.85714286
6/9/2020,3108,46,32.85714286
6/10/2020,3171,63,36
6/11/2020,3221,50,38
6/12/2020,3279,58,41
6/13/2020,3300,21,42.14285714
6/14/2020,3313,13,41.42857143
6/15/2020,3375,62,44.71428571
6/16/2020,3469,94,51.57142857
6/17/2020,3560,91,55.57142857
6/18/2020,3662,102,63
6/19/2020,3773,111,70.57142857
6/20/2020,3823,50,74.71428571
6/21/2020,3860,37,78.14285714
6/22/2020,3964,104,84.14285714
6/23/2020,4153,189,97.71428571
6/24/2020,4299,146,105.5714286
6/25/2020,4432,133,110
6/26/2020,4569,137,113.7142857
6/27/2020,4680,111,122.4285714
6/28/2020,4740,60,125.7142857
6/29/2020,4884,144,131.4285714
6/30/2020,5073,189,131.4285714
